Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
Alubia Blanca,83.0,0.4,10.7,5.8,0.8,mercadona,25.0,7.476635514018692
Ternera Picada,182.0,12.0,0.9000000000000001,17.0,0.0,mercadona,41.66666666666667,88.88888888888889
Gelatina Fresa 0%,1.0,0.0,0.0,0.0,0.22,mercadona,,
Anchoas en Aceite de Oliva,192.0,10.1,0.3,25.0,25.0,mercadona,17.524752475247528,0.0
Patatas Bravas,187.0,12.0,17.0,2.1,0.37,mercadona,11.666666666666666,15.882352941176473
Carne Picada Pavo Pollo,144.0,7.000000000000001,3.0,17.0,1.0,mercadona,28.57142857142857,16.666666666666664
Queso Rallado Fundir y Gratinar,324.0,22.9,8.7,20.8,0.0,mercadona,53.7117903930131,11.49425287356322
Espárragos Delgados Verdes Enteros ,15.0,0.1,1.6,1.3,0.0,mercadona,0.0,0.0
Filetes de Merluza Argentina,91.0,3.1,0.0,15.78,0.38,mercadona,29.03225806451613,
Noodles de Arroz,343.0,0.6,77.0,6.4,1.0,mercadona,33.333333333333336,10.90909090909091
Arroz Vaporizado,345.0,0.7,76.0,7.9,0.02,mercadona,28.571428571428577,0.7894736842105263
Salsa de Soja,66.0,0.0,6.3,7.3,12.5,mercadona,,68.25396825396825
Mermelada de Fresa,194.0,0.0,47.0,0.5,0.03,mercadona,,97.87234042553192
Macarrones Integrales,345.0,2.4,62.0,13.5,0.03,mercadona,16.666666666666668,5.967741935483872
Queso Crema Light,130.0,8.3,4.8,9.0,0.76,mercadona,72.28915662650601,100.0
Macarrones Cocidos,86.0,0.0,18.0,3.0,0.0,mercadona,,0.0
Jamón Serrano,248.0,12.2,1.0,33.5,0.01,mercadona,37.704918032786885,50.0
Patatas,68.0,0.0,14.499999999999998,1.9,0.02,mercadona,,14.482758620689657
Fideo Cabello de Ángel ,366.0,1.5,74.0,12.0,0.2,mercadona,20.0,4.72972972972973
Brotes Tiernos ,27.0,0.9000000000000001,1.2,2.6,0.24,mercadona,11.11111111111111,33.333333333333336
Corazones de Alcachofa ,26.0,0.4,3.2,1.7000000000000002,1.0,mercadona,25.0,21.875
Caldo de Pollo,5.0,0.5,1.3,0.5,0.71,mercadona,20.0,38.46153846153846
Atún Claro en Aceite de Oliva (Escurrido),196.0,12.0,0.0,22.0,1.5,mercadona,15.833333333333332,
Aceitunas Rellenas de Anchoa Extra,150.0,15.0,0.9000000000000001,1.6,2.6,mercadona,19.33333333333333,55.55555555555555
Yogurt Proteico ,52.0,0.5,3.1,10.0,0.0,mercadona,0.0,0.0
Yogur Proteinas Vainilla ,76.66666666666667,1.5000000000000002,5.833333333333333,10.0,0.1,mercadona,66.66666666666666,61.42857142857142
Solomillo de Cerdo,131.0,5.1,0.0,21.0,0.11,mercadona,15.686274509803924,
Atún Claro al Natural Escurrido,98.0,1.2,0.9000000000000001,21.0,1.1,mercadona,25.0,55.55555555555555
