Producto,Kcal,Grasa,Grasas saturadas,Carbohidratos,Azucares,Proteina,Sal,Supermercado
Leche Semidesnatada Enriquecida con Proteínas y Calcio,56.00000000000001,1.5,1.0,4.6,4.6,6.0,0.0,mercadona
Barquillos con crema de avellanas,517.0,26.400000000000002,23.9,62.5,38.0,6.0,0.36,mercadona
Queso Añejo Picante,505.0,43.0,25.0,2.4,0.5,27.0,2.3,mercadona
Mini Biscote 100% Integral Trigo con Sésamo ,405.0,10.0,1.2,59.0,2.7,13.0,1.0,mercadona
+Proteínas Frutos Silvestres,40.0,0.0,0.0,0.0,0.0,10.0,0.0,mercadona
Garbanzos Categoría Extra,348.0,6.1,0.4,47.5,6.0,18.6,0.18,mercadona
Pan de Espelta con Masa Madre,264.0,2.3,0.5,49.0,2.0,10.0,0.0,mercadona
"Barritas con Avena, Chocolate Negro y Naranja",342.85714285714283,7.5,3.571428571428571,71.42857142857143,1.7857142857142856,5.714285714285714,1.1428571428571428,mercadona
Divertidas,478.0,18.0,8.2,72.0,20.0,5.7,1.1,mercadona
Alitas Barbacoa,177.0,11.2,3.3000000000000003,2.8,1.5,16.2,0.69,mercadona
Queso Tierno Bajo en Sal,385.0,32.0,22.0,3.2,0.0,21.0,0.3,mercadona
Turrón Chocolate Negro 72%,630.0,52.0,19.0,19.0,10.0,15.0,0.1,mercadona
Barritas de Cereales con Chocolate con Leche (25g),436.00000000000006,14.000000000000002,11.2,72.0,44.0,5.2,0.0,mercadona
Tónica,34.0,0.0,0.0,8.5,8.5,0.0,0.0,mercadona
Pan Cereales,263.0,5.2,0.9000000000000001,40.0,3.5000000000000004,11.0,1.3,mercadona
Fiambre de Magreta Adobada,260.0,22.5,8.9,2.5,0.8,11.8,1.8000000000000003,mercadona
Chuletón de Añojo,161.0,8.0,3.8,0.6,0.5,22.0,0.12,mercadona
+Proteínas Copa Chocolate ,82.0,2.4,0.0,5.0,4.0,10.0,0.0,mercadona
Gelatina de Yogur Fresa,36.8,0.32,0.24,4.8,4.64,3.04,0.0,mercadona
Helado Choco Nata,319.0,15.0,11.9,41.0,25.0,4.0,0.12,mercadona
Naranja Sin Azúcares Añadidos ,25.0,0.0,0.0,5.7,4.2,0.3,0.0,mercadona
Edam Tierno,319.0,24.0,16.0,0.0,0.0,25.0,0.0,mercadona
Pipas de Girasol Tostadas sin Sal,636.0,53.7,3.3000000000000003,5.5,3.7000000000000006,28.7,0.0,mercadona
Frankfurt Pollo y Pavo,202.0,16.0,5.3,0.8,0.5,13.5,5.0,mercadona
Cocktail Rumba,565.0,40.0,5.1,26.0,4.5,21.0,1.9,mercadona
Trufas,620.0,46.0,36.0,47.0,41.0,4.0,0.2,mercadona
Tomate Triturado con Cebolla,47.0,1.0,0.1,6.9,5.3,1.2,0.0,mercadona
Lomo Empanado,159.0,3.2,1.2,19.2,0.5,13.4,1.1,mercadona
Leche Desnatada con Omega 3,51.0,2.1,0.5,4.8,4.8,3.1,0.14,mercadona
Potito Plátano Mandarina y Pera,57.692307692307686,0.07692307692307693,0.0,14.384615384615385,12.923076923076923,0.4615384615384615,0.03076923076923077,mercadona
Longaniza Pollo/Pavo Fresca,130.0,6.0,1.8000000000000003,0.8,0.5,16.0,1.8000000000000003,mercadona
Barritas Rellenas,544.1860465116279,31.720930232558143,20.046511627906973,56.69767441860465,44.093023255813954,5.813953488372093,0.0,mercadona
Aceitunas Verdes Rellenas Anchoa Reducida en Sal,155.0,16.0,3.0,0.0,0.0,1.3,1.9,mercadona
Pisto Manchego,91.0,5.6,0.9000000000000001,7.9,6.3,1.4,1.1,mercadona
Queso Añejo Seco,503.0,43.0,28.999999999999996,2.0,0.5,27.0,1.6,mercadona
Hígado Menudillos Pollo,120.0,5.3,1.8000000000000003,0.8,0.0,17.0,0.22999999999999998,mercadona
Paletilla de Cordero ,158.0,9.4,0.0,3.3000000000000003,0.0,15.0,0.0,mercadona
Salteado de Pollo Frango,101.0,3.0,0.3,9.1,3.2,8.6,0.91,mercadona
Queso Viejo Madurado en Cava,409.99999999999994,34.0,23.3,1.0,1.0,25.0,1.9,mercadona
Salsa Brava Picante,94.0,2.5,0.3,15.4,14.3,1.4,0.0,mercadona
Aceitunas Verdes Partidas con Especias Estilo Caseras,200.0,20.6,3.9,0.1,0.05,1.6,6.5,mercadona
Pasta Piñones,354.0,1.5,0.3,72.0,3.5000000000000004,11.0,0.0,mercadona
Té Sabor Limón,22.0,0.0,0.0,5.4,5.4,0.0,0.12,mercadona
Yogur Cremoso 0% Piña,38.4,0.08,0.0,4.8,4.0,4.64,0.0,mercadona
Rosegones,462.0,19.0,6.9,62.0,26.0,9.6,0.0,mercadona
Aceitunas Rellenas de Pimiento,120.0,11.8,2.29,1.1,0.5,1.2,0.0,mercadona
Pizza Verduras Braseadas,206.99999999999997,6.1,0.0,30.0,0.0,8.1,0.0,mercadona
Mantequilla Light Fácil de Untar ,384.0,41.0,24.4,1.9,0.0,1.8000000000000003,1.3,mercadona
Anacardo Tostado 0% Sal,618.0,49.1,8.6,21.0,8.8,21.2,0.01,mercadona
Salsa de Tomate con Albahaca,63.0,2.4,0.4,8.7,6.5,1.1,1.3,mercadona
Buñuelos ,303.0,25.4,11.5,14.2,0.67,4.3,0.0,mercadona
Caballa en Escabeche,152.3076923076923,6.153846153846154,1.0923076923076922,0.7692307692307693,0.0,23.89230769230769,1.6153846153846154,mercadona
Yogur Sabores,76.0,2.0,1.3,11.4,11.4,3.0,0.0,mercadona
Bebida de Soja Sabor Café,51.0,1.7000000000000002,0.3,5.5,4.6,3.0,0.19,mercadona
Pan Integral de Centeno ,202.0,1.3,0.3,38.0,3.5000000000000004,5.5,3.12,mercadona
Helados de Horchata,106.41025641025641,1.7948717948717947,0.641025641025641,21.794871794871796,20.51282051282051,0.641025641025641,0.0,mercadona
Preparado Solomillo Marinado,94.0,3.5000000000000004,1.6,0.5,0.5,16.0,1.1,mercadona
Carne Pollo Pavo,92.0,1.6,0.0,1.9,0.0,17.6,0.0,mercadona
Ensalada Romana,28.999999999999996,0.7,0.0,3.1,2.6,1.3,0.06,mercadona
Piña Congelada,56.99999999999999,0.0,0.0,12.0,12.0,0.5,0.0,mercadona
Queso Fresco Oveja,223.0,18.0,13.0,2.7,2.7,13.0,0.0,mercadona
Hojaldre de Queso de Cabra,305.0,18.000000000000004,12.000000000000002,26.999999999999996,1.8333333333333333,8.0,2.5,mercadona
Ventresca,204.99999999999997,11.0,2.6,0.7,0.5,25.0,0.0,mercadona
Filete para Empanar,115.99999999999999,2.6,1.3,0.5,0.5,23.0,0.16,mercadona
Atún Claro en Salsa de Tomate,196.0,15.0,1.7000000000000002,2.2,0.3,13.0,0.0,mercadona
Alas de Pollo Ultracongeladas,204.99999999999997,15.0,4.1,0.0,0.0,18.0,0.19,mercadona
Yogur Natural de Cabra y Oveja,84.0,5.4,2.9,4.7,4.6,4.3,0.1,mercadona
Filete de Pechuga de Pollo de Campo,106.0,1.3,0.4,0.0,0.0,23.0,0.25,mercadona
Galera,106.0,1.73,0.0,0.0,0.0,20.3,0.0,mercadona
Galleta con Chocolate con Leche,491.0,22.0,14.000000000000002,66.0,38.0,5.8,0.48,mercadona
Chocolate Blanco con Galletas al Cacao,533.0,30.0,18.0,60.0,54.0,6.5,0.0,mercadona
Golosinas Colas,332.0,0.0,0.0,78.0,67.0,5.2,0.3,mercadona
Arroz Arborio,351.0,0.6,0.1,79.0,0.5,7.3,0.0,mercadona
Pulpo en Aceite de Oliva,137.0,5.4,0.9000000000000001,0.5,0.5,22.0,0.0,mercadona
Calamar en Tinta,206.99999999999997,15.0,1.9,1.3,0.7,15.0,2.5,mercadona
Queso Gallego,297.0,25.0,16.0,0.69,0.56,17.0,0.0,mercadona
Caramelo de Goma,349.0,0.5,0.1,83.0,65.0,4.2,0.0,mercadona
Filete de Pechuga Pollo Rural,110.00000000000001,2.1,0.7,0.0,0.0,22.0,0.0,mercadona
